index,state,conditions,purview,mechanism
1,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO
2,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN
3,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO
4,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN
5,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,ABDEGHJKMN
6,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,ACEGIKMO
7,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,BDFHJLN
8,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,ABCDEFGHIJKLMNO
9,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,ABCDEFGHIJKLMN
10,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,BCDEFGHIJKLMNO
11,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,BCDEFGHIJKLMN
12,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,ABDEGHJKMN
13,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,ACEGIKMO
14,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,BDFHJLN
15,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,ABCDEFGHIJKLMNO
16,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,ABCDEFGHIJKLMN
17,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,BCDEFGHIJKLMNO
18,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,BCDEFGHIJKLMN
19,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,ABDEGHJKMN
20,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,ACEGIKMO
21,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,BDFHJLN
22,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,ABCDEFGHIJKLMNO
23,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,ABCDEFGHIJKLMN
24,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,BCDEFGHIJKLMNO
25,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,BCDEFGHIJKLMN
26,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,ABDEGHJKMN
27,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,ACEGIKMO
28,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,BDFHJLN
29,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,ABCDEFGHIJKLMNO
30,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,ABCDEFGHIJKLMN
31,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,BCDEFGHIJKLMNO
32,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,BCDEFGHIJKLMN
33,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,ABDEGHJKMN
34,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,ACEGIKMO
35,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,BDFHJLN
36,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,ABCDEFGHIJKLMNO
37,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,ABCDEFGHIJKLMN
38,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,BCDEFGHIJKLMNO
39,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,BCDEFGHIJKLMN
40,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,ABDEGHJKMN
41,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,ACEGIKMO
42,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,BDFHJLN
43,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,ABCDEFGHIJKLMNO
44,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,ABCDEFGHIJKLMN
45,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,BCDEFGHIJKLMNO
46,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,BCDEFGHIJKLMN
47,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,ABDEGHJKMN
48,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,ACEGIKMO
49,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,BDFHJLN
